0.28,4.73E-23
0.2805,1.23E-21
0.281,5.69E-21
0.2815,1.57E-19
0.282,1.19E-18
0.2825,4.54E-18
0.283,1.85E-17
0.2835,3.54E-17
0.284,7.27E-16
0.2845,2.49E-15
0.285,8.01E-15
0.2855,4.26E-14
0.286,1.37E-13
0.2865,8.38E-13
0.287,2.74E-12
0.2875,1.09E-11
0.288,6.23E-11
0.2885,1.72E-10
0.289,5.63E-10
0.2895,2.07E-09
0.29,6.02E-09
0.2905,1.38E-08
0.291,3.51E-08
0.2915,1.09E-07
0.292,2.68E-07
0.2925,4.27E-07
0.293,8.65E-07
0.2935,2.27E-06
0.294,4.17E-06
0.2945,6.59E-06
0.295,1.23E-05
0.2955,2.78E-05
0.296,4.79E-05
0.2965,7.13E-05
0.297,9.68E-05
0.2975,1.86E-04
0.298,2.90E-04
0.2985,3.58E-04
0.299,4.92E-04
0.2995,8.61E-04
0.3,0.00102
0.3005,0.00125
0.301,0.00193
0.3015,0.00269
0.302,0.00292
0.3025,0.00428
0.303,0.00709
0.3035,0.00898
0.304,0.00947
0.3045,0.01195
0.305,0.01646
0.3055,0.01872
0.306,0.01858
0.3065,0.02111
0.307,0.02785
0.3075,0.03564
0.308,0.03784
0.3085,0.04143
0.309,0.04053
0.3095,0.04331
0.31,0.05094
0.3105,0.06554
0.311,0.08292
0.3115,0.08408
0.312,0.09338
0.3125,0.09898
0.313,0.10733
0.3135,0.10757
0.314,0.11969
0.3145,0.1306
0.315,0.13625
0.3155,0.11838
0.316,0.12348
0.3165,0.15036
0.317,0.17158
0.3175,0.18245
0.318,0.17594
0.3185,0.18591
0.319,0.2047
0.3195,0.19589
0.32,0.20527
0.3205,0.24525
0.321,0.25024
0.3215,0.23843
0.322,0.22203
0.3225,0.21709
0.323,0.21226
0.3235,0.24861
0.324,0.27537
0.3245,0.28321
0.325,0.27894
0.3255,0.32436
0.326,0.3812
0.3265,0.40722
0.327,0.39806
0.3275,0.38465
0.328,0.35116
0.3285,0.37164
0.329,0.42235
0.3295,0.46878
0.33,0.47139
0.3305,0.428
0.331,0.40262
0.3315,0.41806
0.332,0.43623
0.3325,0.43919
0.333,0.42944
0.3335,0.40724
0.334,0.41497
0.3345,0.44509
0.335,0.46388
0.3355,0.45313
0.336,0.41519
0.3365,0.38214
0.337,0.3738
0.3375,0.40051
0.338,0.43411
0.3385,0.45527
0.339,0.46355
0.3395,0.47446
0.34,0.5018
0.3405,0.50071
0.341,0.47139
0.3415,0.46935
0.342,0.48934
0.3425,0.50767
0.343,0.51489
0.3435,0.48609
0.344,0.41843
0.3445,0.40307
0.345,0.45898
0.3455,0.48932
0.346,0.47778
0.3465,0.48657
0.347,0.49404
0.3475,0.47674
0.348,0.47511
0.3485,0.48336
0.349,0.46564
0.3495,0.47805
0.35,0.52798
0.3505,0.56741
0.351,0.55172
0.3515,0.53022
0.352,0.51791
0.3525,0.48962
0.353,0.5204
0.3535,0.57228
0.354,0.60498
0.3545,0.61156
0.355,0.6114
0.3555,0.59028
0.356,0.55387
0.3565,0.51942
0.357,0.45673
0.3575,0.46215
0.358,0.43006
0.3585,0.39926
0.359,0.46953
0.3595,0.56549
0.36,0.59817
0.3605,0.56531
0.361,0.52024
0.3615,0.50956
0.362,0.5342
0.3625,0.5851
0.363,0.60191
0.3635,0.58541
0.364,0.60628
0.3645,0.60058
0.365,0.62359
0.3655,0.68628
0.366,0.73532
0.3665,0.73658
0.367,0.72285
0.3675,0.70914
0.368,0.66759
0.3685,0.6631
0.369,0.69315
0.3695,0.74469
0.37,0.75507
0.3705,0.68261
0.371,0.69338
0.3715,0.72051
0.372,0.67444
0.3725,0.64253
0.373,0.61886
0.3735,0.55786
0.374,0.5564
0.3745,0.55227
0.375,0.5893
0.3755,0.65162
0.376,0.6748
0.3765,0.6639
0.377,0.71225
0.3775,0.79455
0.378,0.85595
0.3785,0.83418
0.379,0.74389
0.3795,0.66683
0.38,0.70077
